Ship name,Home port,Lat,Lng,Total quota
CORNELIS VROLIJK FZN,IJMUIDEN,52.4569544,4.6060138,457166
VOYAGER,LONDONDERRY,54.9966124,-7.3085748,405537
CHRIS ANDRA,FRASERBURGH,57.693352,-2.007631,292143
PATHWAY,PETERHEAD,57.508123,-1.784066,290352
QUANTUS,PETERHEAD,57.508123,-1.784066,173995
CHRISTINA S,FRASERBURGH,57.693352,-2.007631,168076
RESEARCH W,WHALSAY AND SKERRIES,60.2915931,-0.9537366,163974
SERENE,LERWICK,60.155823,-1.144569,160038
SERENE,LERWICK,60.155823,-1.144569,160038
SERENE,LERWICK,60.155823,-1.144569,160038
LUNAR BOW,PETERHEAD,57.508123,-1.784066,159377
ANTARES,KILKEEL,54.0630359,-6.0069415,143834
ZEPHYR,KILKEEL,54.0630359,-6.0069415,139434
WIRON 5,PLYMOUTH,50.3754565,-4.1426565,126957
RESOLUTE,GARDENSTOWN,57.666,-2.333,121454
CHALLENGE,FRASERBURGH,57.693352,-2.007631,113399
TAITS,FRASERBURGH,57.693352,-2.007631,101411
OCEAN QUEST,FRASERBURGH,57.693352,-2.007631,99437
OCEAN VENTURE,PORTAVOGIE,54.46208,-5.44743,95333
CHARISMA,MACDUFF,57.67059,-2.497849,90624
CHARISMA,MACDUFF,57.67059,-2.497849,90624
CHARISMA,MACDUFF,57.67059,-2.497849,90624
FOREVER GRATEFUL,FRASERBURGH,57.693352,-2.007631,90321
UNITY,SEAHOUSES,55.581148,-1.651159,80136
FARNELLA,HULL,53.7456709,-0.3367413,74246
WIRON 6,PLYMOUTH,50.3754565,-4.1426565,72722
ANTARCTIC II,WHALSAY AND SKERRIES,60.2915931,-0.9537366,71216
ARCTIC WARRIOR,HULL,53.7456709,-0.3367413,70379
ADMIRAL GORDON,PLYMOUTH,50.3754565,-4.1426565,55064
HAVILAH,BELFAST,54.597285,-5.93012,54041
NORMA MARY,GRIMSBY,53.567471,-0.080784,43159
AUDACIOUS,PETERHEAD,57.508123,-1.784066,40372
OUR LASS III,NORTH SHIELDS,55.010762,-1.449138,32714
AALSKERE,KIRKWALL,58.984674,-2.962249,32335
PROVIDER II,PLYMOUTH,50.3754565,-4.1426565,26634
BOY ANDREW,ARDGLASS,54.26019,-5.61015,25893
VENTURE II,WHITEHILLS,57.676859,-2.580352,24431
ACHIEVE,FRASERBURGH,57.693352,-2.007631,24193
OPPORTUNE,LERWICK,60.155823,-1.144569,23262
HARVEST HOPE,FRASERBURGH,57.693352,-2.007631,22387
ATLANTIC CHALLENGE,PETERHEAD,57.508123,-1.784066,22104
WILHELMINA,LOWESTOFT,52.481138,1.753449,20955
KEILA,WESTRAY,29.818468,-95.542115,20866
ROSEBLOOM,FRASERBURGH,57.693352,-2.007631,19773
HENDRIK BRANDS,LOWESTOFT,52.481138,1.753449,19345
OCEAN HARVEST,MEVAGISSEY,50.270076,-4.787462,18544
HARVESTER,STONEHAVEN,56.963661,-2.209288,18539
OCEAN BOUNTY,PETERHEAD,57.508123,-1.784066,18465
TRANQUILITY,LERWICK,60.155823,-1.144569,18382
ENDEAVOUR IV,FRASERBURGH,57.693352,-2.007631,17288
MIRANDA,URK,52.6630533,5.5989465,16288
ALISON KAY,LERWICK,60.155823,-1.144569,15701
MARGRIET,HARLINGEN,53.1746381,5.4251517,15698
ACORN,PETERHEAD,57.508123,-1.784066,14865
OUR MELISSA,SCARBOROUGH,54.283113,-0.399752,14673
NINA MAY,BRIXHAM,50.39514,-3.513924,14596
TRANQUILITY,LERWICK,60.155823,-1.144569,14501
BERYL,FRASERBURGH,57.693352,-2.007631,13970
ADMIRAL GRENVILLE,PLYMOUTH,50.3754565,-4.1426565,13803
ADORNE II,PETERHEAD,57.508123,-1.784066,13682
RESILIENT,LERWICK,60.155823,-1.144569,13526
OUR ANNA,NORTH SHIELDS,55.010762,-1.449138,13197
ADVANCE,NORTH SHIELDS,55.010762,-1.449138,12991
HENDRIKA JACOBA,URK,52.6630533,5.5989465,12731
GUARDIAN ANGELL,YELL AND FETLAR,60.616667,-0.866667,12626
TRUI VAN HINTE,URK,52.6630533,5.5989465,11890
O GENITA,NORTH SHIELDS,55.010762,-1.449138,11616
TRANQUILITY,LERWICK,60.155823,-1.144569,11610
CASTLEWOOD,GRIMSBY,53.567471,-0.080784,11601
CASTLEWOOD,GRIMSBY,53.567471,-0.080784,11601
MINERVA,FRASERBURGH,57.693352,-2.007631,11563
VENTURE II,WHITEHILLS,57.676859,-2.580352,11490
SOLA FIDE,NORTH SHIELDS,55.010762,-1.449138,11380
FLOURISH N,MACDUFF,57.67059,-2.497849,11096
SOLI DEO GLORIA,NORTH SHIELDS,55.010762,-1.449138,11063
AYR QUEEN,CORUNNA,43.3623436,-8.4115401,11019
ARCTURUS,HOPEMAN,57.70625,-3.434834,10685
RADIANT STAR,LERWICK,60.155823,-1.144569,10603
DEMARUS,FRASERBURGH,57.693352,-2.007631,10164
GLENUGIE,PETERHEAD,57.508123,-1.784066,10096
BROSME,AYR,55.458564,-4.629179,9840
FLOREAT,SCARBOROUGH,54.283113,-0.399752,9800
ENDEAVOUR IV,FRASERBURGH,57.693352,-2.007631,9763
JODIE,PLYMOUTH,50.3754565,-4.1426565,9701
INVERDALE,AYR,55.458564,-4.629179,9569
FAVONIUS,PETERHEAD,57.508123,-1.784066,9439
SHALIMAR II,PETERHEAD,57.508123,-1.784066,9417
TRANQUILITY,LERWICK,60.155823,-1.144569,9398
QUO VADIS,BUCKIE,57.677392,-2.967311,9186
BUDDING ROSE,PETERHEAD,57.508123,-1.784066,9158
KORNELIS JAN,URK,52.6630533,5.5989465,8894
CRYSTAL RIVER,FRASERBURGH,57.693352,-2.007631,8823
ADVENTURER II,LOCHINVER,58.149735,-5.240615,8791
LOUWE SENIOR,NORTH SHIELDS,55.010762,-1.449138,8773
LOUWE SENIOR,NORTH SHIELDS,55.010762,-1.449138,8773
APOLLO,KINLOCHBERVIE,58.458818,-5.049152,8567
MAIMAI,LOSSIEMOUTH,57.721579,-3.280325,8421
VENTUROUS,WHALSAY AND SKERRIES,60.2915931,-0.9537366,8340
OCEAN VENTURE II,PETERHEAD,57.508123,-1.784066,8311
TRANQUILITY,LERWICK,60.155823,-1.144569,8271
MANUEL LAURA,VIGO,42.2405989,-8.7207268,8141
NEELTJE,NORTH SHIELDS,55.010762,-1.449138,7815
ACHIEVE,FRASERBURGH,57.693352,-2.007631,7797
RENOWN,FRASERBURGH,57.693352,-2.007631,7708
EBEN HAEZER,SCARBOROUGH,54.283113,-0.399752,7625
OCEAN WAY,BUCKIE,57.677392,-2.967311,7470
ENTERPRISE II,MACDUFF,57.67059,-2.497849,7456
FAITHFUL,FRASERBURGH,57.693352,-2.007631,7441
ELLEN,PORTAVOGIE,54.46208,-5.44743,7196
GIRL RONA,TEIGNMOUTH,50.547033,-3.496688,7063
SEAGULL,MACDUFF,57.67059,-2.497849,6943
GENESIS,BUCKIE,57.677392,-2.967311,6826
LAPWING,PETERHEAD,57.508123,-1.784066,6659
ARCTURUS,HOPEMAN,57.70625,-3.434834,6629
BENARKLE,PETERHEAD,57.508123,-1.784066,6517
PHOENIX,FRASERBURGH,57.693352,-2.007631,6384
PHOENIX,FRASERBURGH,57.693352,-2.007631,6384
PHOENIX,FRASERBURGH,57.693352,-2.007631,6384
COURAGEOUS III,GRIMSBY,53.567471,-0.080784,6374
ARDENT II,HOPEMAN,57.70625,-3.434834,6281
SPARKLING STAR IV,KINLOCHBERVIE,58.458818,-5.049152,6241
DEVOTION,LERWICK,60.155823,-1.144569,6172
SERENITY,MACDUFF,57.67059,-2.497849,6098
AYR DAWN,NORTH SHIELDS,55.010762,-1.449138,6078
NEW DAWN,PITTENWEEM,56.214,-2.732285,6047
GOLDEN GAIN V,PETERHEAD,57.508123,-1.784066,5939
MIZPAH LK,SCALLOWAY AND ISLES,60.137715,-1.282203,5928
HELENUS,BUCKIE,57.677392,-2.967311,5893
MARANATHA,PORTAVOGIE,54.46208,-5.44743,5882
CELESTIAL DAWN,GARDENSTOWN,57.666,-2.333,5788
ENTERPRISE,PETERHEAD,57.508123,-1.784066,5706
OPPORTUNUS IV,PETERHEAD,57.508123,-1.784066,5676
SPICA,MARIN,42.3914848,-8.7020824,5664
OPPORTUNE,LERWICK,60.155823,-1.144569,5554
MAR BLANCO,NORTH SHIELDS,55.010762,-1.449138,5472
ANNEGINA,PETERHEAD,57.508123,-1.784066,5389
COPIOUS,LERWICK,60.155823,-1.144569,5353
BONAVENTURE,ARDGLASS,54.26019,-5.61015,5330
FAIRNIES,EYEMOUTH,55.869058,-2.091068,5299
FAIRWAY II,WHALSAY AND SKERRIES,60.2915931,-0.9537366,5272
SUSA UNO,MARIN,42.3914848,-8.7020824,5247
REBECCA,EYEMOUTH,55.869058,-2.091068,5212
ACHATES,EYEMOUTH,55.869058,-2.091068,5165
PROLIFIC,LERWICK,60.155823,-1.144569,5150
POLARIS II,NORTH SHIELDS,55.010762,-1.449138,5073
SARA LENA,SHOREHAM,50.8342086,-0.2715558,5023
CRYSTAL SEA,NEWLYN,50.107058,-5.5503289,4918
CRYSTAL SEA,NEWLYN,50.107058,-5.5503289,4918
CRYSTAL SEA,NEWLYN,50.107058,-5.5503289,4918
CRYSTAL SEA,NEWLYN,50.107058,-5.5503289,4918
OCEAN CHALLENGE,PORTSOY,57.681023,-2.688412,4892
KESTREL,BUCKIE,57.677392,-2.967311,4888
SUSTAIN,PETERHEAD,57.508123,-1.784066,4880
KRISTENBORG,NORTH SHIELDS,55.010762,-1.449138,4877
KRISTENBORG,NORTH SHIELDS,55.010762,-1.449138,4877
KARENANN II,PETERHEAD,57.508123,-1.784066,4780
GOLDEN SCEPTRE,PETERHEAD,57.508123,-1.784066,4691
BROSME,AYR,55.458564,-4.629179,4674
SOLSTICE,FRASERBURGH,57.693352,-2.007631,4624
HARVEST HOPE,FRASERBURGH,57.693352,-2.007631,4506
CABO ORTEGAL,TROON,55.541332,-4.659948,4491
CABO ORTEGAL,TROON,55.541332,-4.659948,4491
GENESIS,BUCKIE,57.677392,-2.967311,4484
ENDURANCE,PETERHEAD,57.508123,-1.784066,4456
ARMAVEN UNO,VIGO,42.2405989,-8.7207268,4447
ARTEMIS,NORTH SHIELDS,55.010762,-1.449138,4355
EMULATOR,SCARBOROUGH,54.283113,-0.399752,4353
DEESIDE,BUCKIE,57.677392,-2.967311,4334
ALLEGIANCE,SCARBOROUGH,54.283113,-0.399752,4182
REBECCA,EYEMOUTH,55.869058,-2.091068,4130
NIMROD,ARDGLASS,54.26019,-5.61015,4118
PATRICIA MARTA,AYR,55.458564,-4.629179,4061
ISABELLA,CASTLEBAY,56.954527,-7.486566,3927
GERRY ANN C,BRIXHAM,50.39514,-3.513924,3876
EBEN HAEZER,SCARBOROUGH,54.283113,-0.399752,3875
MAREIXON,AYR,55.458564,-4.629179,3838
LADY MAUREEN,BRIXHAM,50.39514,-3.513924,3833
EDER SANDS,AYR,55.458564,-4.629179,3772
DISCOVERY,BUCKIE,57.677392,-2.967311,3640
UDRA,NORTH SHIELDS,55.010762,-1.449138,3552
PLEIADES,FRASERBURGH,57.693352,-2.007631,3540
STRATHMORE,KILKEEL,54.0630359,-6.0069415,3517
OCEAN DAWN,GRIMSBY,53.567471,-0.080784,3505
SEARCHER,BUCKIE,57.677392,-2.967311,3466
VIGILANT,FRASERBURGH,57.693352,-2.007631,3462
ANSGAR,NORTH SHIELDS,55.010762,-1.449138,3413
SHEMARAH II,GRANTON,44.5888512,-90.4612469,3371
KINGFISHER,BALLANTRAE,55.100278,-5.004722,3324
ACCORD,BUCKIE,57.677392,-2.967311,3320
ATLANTIC CHALLENGE,PETERHEAD,57.508123,-1.784066,3282
SILVER FERN,ARDGLASS,54.26019,-5.61015,3279
CRYSTAL RIVER A,AMBLE,55.331461,-1.585261,3255
PREVAIL,SCALLOWAY AND ISLES,60.137715,-1.282203,3250
PREVAIL,SCALLOWAY AND ISLES,60.137715,-1.282203,3250
PREVAIL,SCALLOWAY AND ISLES,60.137715,-1.282203,3250
CALEDONIA II,BUCKIE,57.677392,-2.967311,3224
OUR SHARON,SCARBOROUGH,54.283113,-0.399752,3199
ANTARES,KILKEEL,54.0630359,-6.0069415,3165
CAROUSEL,SCARBOROUGH,54.283113,-0.399752,3146
BRISCA,AYR,55.458564,-4.629179,3111
BRISCA,AYR,55.458564,-4.629179,3111
BRISCA,AYR,55.458564,-4.629179,3111
SCOTT K,ANNALONG,54.10771,-5.90109,3105
MOREMMA,PETERHEAD,57.508123,-1.784066,3099
BRACODEN,FRASERBURGH,57.693352,-2.007631,3065
LOCH INCHARD II,KINLOCHBERVIE,58.458818,-5.049152,3033
RADIANCE,LERWICK,60.155823,-1.144569,3012
ARDENT II,HOPEMAN,57.70625,-3.434834,2941
VIRTUOUS,FRASERBURGH,57.693352,-2.007631,2910
HORIZON 11,FRASERBURGH,57.693352,-2.007631,2896
ISADALE,FLEETWOOD,53.916661,-3.035673,2891
ACHILLES,KILKEEL,54.0630359,-6.0069415,2830
ATLANTIC,KILKEEL,54.0630359,-6.0069415,2807
SHARYN LOUISE,WHALSAY AND SKERRIES,60.2915931,-0.9537366,2804
LYNDEN II,GARDENSTOWN,57.666,-2.333,2744
REPLENISH,FRASERBURGH,57.693352,-2.007631,2693
AQUARIUS,MACDUFF,57.67059,-2.497849,2673
AQUARIUS,MACDUFF,57.67059,-2.497849,2673
AQUARIUS,MACDUFF,57.67059,-2.497849,2673
AQUARIUS,MACDUFF,57.67059,-2.497849,2673
ANTARIES,FRASERBURGH,57.693352,-2.007631,2648
SUPREME,ARDGLASS,54.26019,-5.61015,2631
OCEAN REWARD IV,BUCKIE,57.677392,-2.967311,2605
TRANQUILLITY,FRASERBURGH,57.693352,-2.007631,2576
VALHALLA,FRASERBURGH,57.693352,-2.007631,2566
NORLAN,WHITEHILLS,57.676859,-2.580352,2560
NICOLA ANNE,WEST MERSEA,51.777645,0.928821,2544
COELLEIRA,AYR,55.458564,-4.629179,2499
CHALLENGER,AYR,55.458564,-4.629179,2491
OUR MIRANDA,SHOREHAM,50.8342086,-0.2715558,2463
SHEMARAH II,GRANTON,44.5888512,-90.4612469,2421
EXCEL,DARTMOUTH,44.6652059,-63.5677427,2419
EXCEL,DARTMOUTH,44.6652059,-63.5677427,2419
JUBILEE SPIRIT,GRIMSBY,53.567471,-0.080784,2397
ARDENT,LERWICK,60.155823,-1.144569,2386
MORAY ENDEAVOUR,BUCKIE,57.677392,-2.967311,2374
CARINA,MACDUFF,57.67059,-2.497849,2342
ORION,FRASERBURGH,57.693352,-2.007631,2287
ENDURANCE,PETERHEAD,57.508123,-1.784066,2278
ENDEAVOUR,GRANTON,44.5888512,-90.4612469,2271
LUC,NORTH SHIELDS,55.010762,-1.449138,2253
ANGUS ROSE III,CARRADALE,55.591,-5.47,2195
GLEANER II,CAMPBELTOWN,55.424117,-5.605374,2194
AYR DAWN,NORTH SHIELDS,55.010762,-1.449138,2193
PORT OF AYR,NORTH SHIELDS,55.010762,-1.449138,2157
SURMOUNT,BUCKIE,57.677392,-2.967311,2145
MAREIXON,AYR,55.458564,-4.629179,2122
MONTE MAZANTEU,FLEETWOOD,53.916661,-3.035673,2109
SILVER HARVESTER,PORTAVOGIE,54.46208,-5.44743,2096
SPARKLING SEA,KILKEEL,54.0630359,-6.0069415,2095
LADY T EMIEL,BRIXHAM,50.39514,-3.513924,2087
ANGEL EMIEL,BRIXHAM,50.39514,-3.513924,2084
ANGEL EMIEL,BRIXHAM,50.39514,-3.513924,2084
BERLEWEN,PADSTOW,50.542062,-4.939017,2057
GOLDEN EMBLEM,PORTAVOGIE,54.46208,-5.44743,2050
SUNLIGHT RAY,FRASERBURGH,57.693352,-2.007631,2045
DAYSTAR,FRASERBURGH,57.693352,-2.007631,2034
TAHUME,AYR,55.458564,-4.629179,2015
VALHALLA,FRASERBURGH,57.693352,-2.007631,2008
TRANSCEND,BUCKIE,57.677392,-2.967311,2001
BRISAN,NORTH SHIELDS,55.010762,-1.449138,1994
AMITY II,PETERHEAD,57.508123,-1.784066,1991
NORTHERN DAWN,KILKEEL,54.0630359,-6.0069415,1965
CHRISTIAN M,AYR,55.458564,-4.629179,1937
GERTRUDE ANN,KILKEEL,54.0630359,-6.0069415,1928
SUFFOLK CHIEFTAIN,FLEETWOOD,53.916661,-3.035673,1913
VALHALLA,FRASERBURGH,57.693352,-2.007631,1904
CERULEAN,BIDEFORD,51.016684,-4.206666,1888
SILVER DAWN,KILKEEL,54.0630359,-6.0069415,1869
SILVER DAWN,KILKEEL,54.0630359,-6.0069415,1869
KARIMA,KILKEEL,54.0630359,-6.0069415,1847
CAAREEN,KILKEEL,54.0630359,-6.0069415,1845
PREVAIL,SCALLOWAY AND ISLES,60.137715,-1.282203,1819
SILVER FERN,ARDGLASS,54.26019,-5.61015,1818
FISHER BOYS,WHITEHILLS,57.676859,-2.580352,1812
UBEROUS,FRASERBURGH,57.693352,-2.007631,1795
ADMIRAL BLAKE,PLYMOUTH,50.3754565,-4.1426565,1770
EMILIA JAYNE,BRIXHAM,50.39514,-3.513924,1766
ELLEN,PORTAVOGIE,54.46208,-5.44743,1763
OCEAN REAPER IV,PETERHEAD,57.508123,-1.784066,1756
OCEAN HARVESTER,KILKEEL,54.0630359,-6.0069415,1755
AURELIA,BELFAST,54.597285,-5.93012,1712
JUBILEE PRIDE,GRIMSBY,53.567471,-0.080784,1700
COURAGE,ULLAPOOL,57.895418,-5.161313,1697
ALERT,WEST MAINLAND (SHETLAND),60.3206726,-1.2885775,1695
OCEAN WAY,BUCKIE,57.677392,-2.967311,1688
WILLIAM MARY,NEWHAVEN,50.79307,0.045574,1666
SARAH LENA,HASTINGS,40.5862583,-98.3898726,1663
REJOICE,EXMOUTH,50.619957,-3.413702,1648
RADIANT STAR,LERWICK,60.155823,-1.144569,1646
NORTHERN VENTURE,KILKEEL,54.0630359,-6.0069415,1640
