Ship name,Home port,Lat,Lng,Total quota
ZEPHYR,KILKEEL,54.0630359,-6.0069415,214
RED VIXEN,MEVAGISSEY,50.270076,-4.787462,212
SUSTAIN,PETERHEAD,57.508123,-1.784066,211
REBECCA,EYEMOUTH,55.869058,-2.091068,211
FULMAR,EYEMOUTH,55.869058,-2.091068,211
REVENGE,KIRKWALL,58.984674,-2.962249,210
BORDER LASSIE,MARYPORT,54.714441,-3.49494,210
ARCTIC MOON,AYR,55.458564,-4.629179,209
SHALIMAR,KIRKWALL,58.984674,-2.962249,207
KERRIE MARIE,BRIXHAM,50.39514,-3.513924,206
SOWENNA,NEWLYN,50.107058,-5.5503289,201
ATLAS,CAMPBELTOWN,55.424117,-5.605374,200
ATLAS,CAMPBELTOWN,55.424117,-5.605374,200
ATLAS,CAMPBELTOWN,55.424117,-5.605374,200
TRUE VINE,AMBLE,55.331461,-1.585261,200
OUR GRACE,KILKEEL,54.0630359,-6.0069415,200
SUE ELLEN,BIDEFORD,51.016684,-4.206666,200
SILVER STREAM,PLYMOUTH,50.3754565,-4.1426565,200
MARACESTINA,PETERHEAD,57.508123,-1.784066,198
ST APOLLO,KIRKCUDBRIGHT,54.837569,-4.04878,197
VIKINGBORG,MALLAIG,57.003813,-5.827173,194
ELLA,LOOE,50.3562269,-4.455232,193
BOUNTIFUL,FRASERBURGH,57.693352,-2.007631,191
DEFIANCE,FRASERBURGH,57.693352,-2.007631,190
FIVE SISTERS,CAMPBELTOWN,55.424117,-5.605374,190
NEW SEEKER,LYME REGIS,50.725156,-2.936639,185
KARINYA,FRASERBURGH,57.693352,-2.007631,184
FREEDOM II,SUNDERLAND,54.906869,-1.383801,183
AVOCET,FLEETWOOD,53.916661,-3.035673,183
GINA LOUISE,GUERNSEY,49.465691,-2.585278,181
ITSIE BITSIE,BOSTON,42.3584308,-71.0597732,181
CHANNEL VENTURE II,NORTH SHIELDS,55.010762,-1.449138,180
LEVEN MOR,BUTE,2.8,24.733333,180
BALCARY,NORTH SHIELDS,55.010762,-1.449138,179
BALCARY,NORTH SHIELDS,55.010762,-1.449138,179
SERENE DAWN,LOWESTOFT,52.481138,1.753449,178
SCOTIA STAR,TARBERT,55.863246,-5.415608,176
QUEST,STORNOWAY,58.209435,-6.3848692,173
QUEST,STORNOWAY,58.209435,-6.3848692,173
CATHRYN,NEWLYN,50.107058,-5.5503289,172
CATHRYN,NEWLYN,50.107058,-5.5503289,172
CATHRYN,NEWLYN,50.107058,-5.5503289,172
ALBION,BALLANTRAE,55.100278,-5.004722,171
PRIDE AND JOY,WHITBY,54.486335,-0.613347,171
ANTARES,KILKEEL,54.0630359,-6.0069415,170
L'ECUME II,SHOREHAM,50.8342086,-0.2715558,169
SEALGAIR MARA,GAIRLOCH,57.72822,-5.693912,168
OSPREY,ABERDEEN,57.149717,-2.094278,167
HOMARUS,DUNBAR,56.002087,-2.516737,165
STEPHANIE,MILFORD HAVEN,51.714306,-5.042697,164
LISA ANN,PLYMOUTH,50.3754565,-4.1426565,164
NATALIE,LOOE,50.3562269,-4.455232,164
SUNBEAM,FRASERBURGH,57.693352,-2.007631,163
BOY LUKIE,LEIGH-ON-SEA,51.5474028,0.6472769,163
JANWAL II,SUNDERLAND,54.906869,-1.383801,159
JANREEN,PORT SETON,55.9703078,-2.9455236,157
MILLIE G,NEWLYN,50.107058,-5.5503289,157
JENNY G,PORTSMOUTH,50.816667,-1.083333,156
LYNDEN II,GARDENSTOWN,57.666,-2.333,155
PARAVEL,LOOE,50.3562269,-4.455232,154
DAWN TREADER,TOBERMORY (ISLE OF MULL),56.621852,-6.070278,153
GERRY ANN,PLYMOUTH,50.3754565,-4.1426565,152
SYDO,BRIXHAM,50.39514,-3.513924,151
RENOWN J W,WHALSAY AND SKERRIES,60.2915931,-0.9537366,150
FRUITFUL BOUGH,PETERHEAD,57.508123,-1.784066,150
OLIVIA JEAN,AYR,55.458564,-4.629179,149
CODONGER TOO,WHITBY,54.486335,-0.613347,149
MY TARA,NEWQUAY,50.415497,-5.073719,145
MAR DE CRETA,CORUNNA,43.3623436,-8.4115401,144
OUR VENTURE,KIRKWALL,58.984674,-2.962249,140
LOYAL PARTNER,NEWQUAY,50.415497,-5.073719,137
CHIEFTAIN,PORTREE,57.412474,-6.196023,131
KINGFISHER,BALLANTRAE,55.100278,-5.004722,128
TAMARALYN,EYEMOUTH,55.869058,-2.091068,127
BAFFIN BAY,VIGO,42.2405989,-8.7207268,127
BAFFIN BAY,VIGO,42.2405989,-8.7207268,127
BAFFIN BAY,VIGO,42.2405989,-8.7207268,127
FRAM OF SHIELDAIG,TORRIDON,57.544809,-5.511095,125
SCOTIA,WHITEHAVEN,54.549699,-3.589233,125
LIBERATOR,LEIGH-ON-SEA,51.5474028,0.6472769,121
ASTERIA,PORTAVOGIE,54.46208,-5.44743,120
TRUE TO THE CORE,WALTON-ON-NAZE,51.848186,1.267736,119
TRUE TO THE CORE,WALTON-ON-NAZE,51.848186,1.267736,119
ELLA M,BUTE,2.8,24.733333,119
CALEDONIA II,BUCKIE,57.677392,-2.967311,118
LAMORNA,NEWLYN,50.107058,-5.5503289,118
LILY V,ABERDEEN,57.149717,-2.094278,115
SEMPER VICTORIA,AYR,55.458564,-4.629179,103
SEA VENTURE,AYR,55.458564,-4.629179,102
FLOURISH N,MACDUFF,57.67059,-2.497849,100
LADY JANE,OBAN,56.415157,-5.471047,100
ISLANDER,MARYPORT,54.714441,-3.49494,100
SILVER FERN,ARDGLASS,54.26019,-5.61015,99
NICOLA FAITH,MILFORD HAVEN,51.714306,-5.042697,99
HARVEST REAPER,NEWLYN,50.107058,-5.5503289,98
KIMBERLEY,BRIDLINGTON,54.08535,-0.198802,95
CELTIC STAR,HOLYHEAD,53.309441,-4.633038,95
KATY JANE,BRIXHAM,50.39514,-3.513924,95
FRAM III,BELFAST,54.597285,-5.93012,91
SILVER SPRAY 111,CAMPBELTOWN,55.424117,-5.605374,89
MARIGOLD,ANNAN,54.990246,-3.259773,89
ELAINALEE,BARROW,71.2905556,-156.7886111,88
CHALLENGER,AYR,55.458564,-4.629179,88
KYRENE,OBAN,56.415157,-5.471047,84
MADALIA,NORTH SHIELDS,55.010762,-1.449138,82
SINCERITY II,MARYPORT,54.714441,-3.49494,82
SYRINEN,WHITEHAVEN,54.549699,-3.589233,82
GIRL PAMELA,NEWLYN,50.107058,-5.5503289,82
ENTERPRISE,PETERHEAD,57.508123,-1.784066,81
EMULATOR,SCARBOROUGH,54.283113,-0.399752,80
HOLLIE J,BRIDLINGTON,54.08535,-0.198802,79
PRIDE OF WALES,HOLYHEAD,53.309441,-4.633038,78
GEESKE,BRIXHAM,50.39514,-3.513924,78
BEN LOYAL,AYR,55.458564,-4.629179,76
NORTH EASTERN,NORTH SHIELDS,55.010762,-1.449138,76
STJERNEN,MARYPORT,54.714441,-3.49494,76
TWO BROTHERS II,EXMOUTH,50.619957,-3.413702,76
TWO BROTHERS II,EXMOUTH,50.619957,-3.413702,76
TWO BROTHERS II,EXMOUTH,50.619957,-3.413702,76
SILVER WAVE,FRASERBURGH,57.693352,-2.007631,75
TRANQUILITY,LERWICK,60.155823,-1.144569,71
BELINDA II,ULLAPOOL,57.895418,-5.161313,70
NANCY GLEN,TARBERT,55.863246,-5.415608,70
PIONEER,PORT ELLEN,55.629351,-6.188893,70
PIONEER,PORT ELLEN,55.629351,-6.188893,70
CALEDONIA,CARRADALE,55.591,-5.47,70
ALASKA,BELFAST,54.597285,-5.93012,69
ROWENA,FOLKESTONE,51.081397,1.169456,69
WAVECREST,STORNOWAY,58.209435,-6.3848692,68
FORTITUDE,LOCHINVER,58.149735,-5.240615,68
TRELAWNEY OF CORNWALL,OBAN,56.415157,-5.471047,68
JUST REWARD,MACDUFF,57.67059,-2.497849,67
MICHELLE,TORRIDON,57.544809,-5.511095,67
VAN DIJCK,BRIXHAM,50.39514,-3.513924,66
HEATHER D,SWANSEA,51.62144,-3.943646,64
SARAH LENA,HASTINGS,40.5862583,-98.3898726,60
JENNAH D,SHOREHAM,50.8342086,-0.2715558,57
JENNAH D,SHOREHAM,50.8342086,-0.2715558,57
RAMBLING ROSE,PORTAVOGIE,54.46208,-5.44743,56
EILIDH,KYLE,29.9891052,-97.8772267,55
NATALIE ROSE II,OBAN,56.415157,-5.471047,54
OUR HERITAGE,BANGOR,44.8011821,-68.7778138,54
OCEAN QUEST,FRASERBURGH,57.693352,-2.007631,53
CHALLENGE A,BOSTON,42.3584308,-71.0597732,52
WAKEFUL,GRIMSAY,57.491944,-7.244167,50
VECTIS ENTERPRISE,PWLLHELI,52.888816,-4.4176339,50
CHARLOTTE,KINGS LYNN,52.75649,0.4001739,48
OUR LASS III,NORTH SHIELDS,55.010762,-1.449138,47
MISTY BLUE,BRIDLINGTON,54.08535,-0.198802,47
ORCADES II,PORT ISAAC,50.59382,-4.829978,47
EMMA JANE,SALCOMBE,50.23758,-3.769791,46
KINGFISHER,BALLANTRAE,55.100278,-5.004722,45
AUDREY PATRICIA,GRIMSBY,53.567471,-0.080784,45
BOY PAUL,RED BAY,34.4398202,-88.1408747,45
PATSY ANNE,WHITEHAVEN,54.549699,-3.589233,43
MARGARITA,CAMPBELTOWN,55.424117,-5.605374,40
ALLEGIANCE,SCARBOROUGH,54.283113,-0.399752,40
NORTHERN QUEST,KILKEEL,54.0630359,-6.0069415,40
COURAGE,ULLAPOOL,57.895418,-5.161313,39
EVENING STAR,PETERHEAD,57.508123,-1.784066,39
EVENING STAR,PETERHEAD,57.508123,-1.784066,39
EVENING STAR,PETERHEAD,57.508123,-1.784066,39
HELENUS,BUCKIE,57.677392,-2.967311,37
HELENUS,BUCKIE,57.677392,-2.967311,37
FAIRWAY TWO,KILKEEL,54.0630359,-6.0069415,37
SPINDRIFT,BRACADALE,57.360114,-6.406623,35
STELLA MARIS,CAMPBELTOWN,55.424117,-5.605374,33
VENUS II,LLANELLI,51.680886,-4.160248,33
JANE ELIZABETH,HASTINGS,40.5862583,-98.3898726,33
SAM LEWETTE II,NORTH SHIELDS,55.010762,-1.449138,32
TOBRACH N,KIRKCUDBRIGHT,54.837569,-4.04878,32
LEANA,KILKEEL,54.0630359,-6.0069415,32
CAROL ANN,KILKEEL,54.0630359,-6.0069415,32
FAIR LASS,NORTH UIST,57.5703765,-7.2812399,30
MARIGOLD,ANNAN,54.990246,-3.259773,30
JOBERT,CANVEY ISLAND,51.517083,0.578411,30
VERTROUWEN,KIRKCUDBRIGHT,54.837569,-4.04878,25
COWRIE BAY,KILKEEL,54.0630359,-6.0069415,25
LAUWERSZEE,BURNHAM-ON-CROUCH,51.628347,0.814539,25
SERENE,LERWICK,60.155823,-1.144569,24
PEADAR MARIE,PLYMOUTH,50.3754565,-4.1426565,24
MARY MANSON,TOBERMORY (ISLE OF MULL),56.621852,-6.070278,23
MARY MANSON,TOBERMORY (ISLE OF MULL),56.621852,-6.070278,23
MARY MANSON,TOBERMORY (ISLE OF MULL),56.621852,-6.070278,23
GIRL SHARON,CAMPBELTOWN,55.424117,-5.605374,23
OUR LASSIE,GRIMSBY,53.567471,-0.080784,23
OUR LASSIE,GRIMSBY,53.567471,-0.080784,23
OUR LASSIE,GRIMSBY,53.567471,-0.080784,23
OUR LASSIE,GRIMSBY,53.567471,-0.080784,23
MORNING STAR,PORTSMOUTH,50.816667,-1.083333,23
ONWARD,KILKEEL,54.0630359,-6.0069415,22
OUR SARAH JANE,NEWHAVEN,50.79307,0.045574,22
STELIMAR,SOUTH UIST & ERISKAY,57.0727277,-7.292431,21
AZULA,KIRKCUDBRIGHT,54.837569,-4.04878,20
PROVIDENCE,BRIDLINGTON,54.08535,-0.198802,20
NEW DAWN,PITTENWEEM,56.214,-2.732285,19
TRUSTFUL,NORTH SHIELDS,55.010762,-1.449138,19
HILDONA,KIRKWALL,58.984674,-2.962249,17
BONNIE LASS III,WHITEHAVEN,54.549699,-3.589233,17
GENESIS,BUCKIE,57.677392,-2.967311,16
SARDONYX II,PETERHEAD,57.508123,-1.784066,16
CLASINA,AYR,55.458564,-4.629179,16
SEA HARVESTER,KILKEEL,54.0630359,-6.0069415,16
AMETHYST,KILKEEL,54.0630359,-6.0069415,16
SONDRA,WHALSAY AND SKERRIES,60.2915931,-0.9537366,15
STRONSAY LAD,STRONSAY,59.1068844,-2.6000637,15
ACHIEVABLE,GREAT YARMOUTH,52.598233,1.728047,15
THREE JAYS,NEWQUAY,50.415497,-5.073719,15
GUIDING LIGHT,HOY,39.317778,-78.579722,15
GUIDING LIGHT,HOY,39.317778,-78.579722,15
HARVESTER,STONEHAVEN,56.963661,-2.209288,13
PROGRESS,OBAN,56.415157,-5.471047,13
CRIMSON ARROW IV,OBAN,56.415157,-5.471047,13
AQUINIS,KIRKCUDBRIGHT,54.837569,-4.04878,13
SWALLOW,LOOE,50.3562269,-4.455232,13
PROVIDER,MILFORD HAVEN,51.714306,-5.042697,12
PEGASUS,TOBERMORY (ISLE OF MULL),56.621852,-6.070278,11
OCEAN MAID,TROON,55.541332,-4.659948,11
SEA SWALLOW,KINGS LYNN,52.75649,0.4001739,11
LIBERATOR,LEIGH-ON-SEA,51.5474028,0.6472769,11
TEGEN MOR,NEWLYN,50.107058,-5.5503289,11
TEGEN MOR,NEWLYN,50.107058,-5.5503289,11
TEGEN MOR,NEWLYN,50.107058,-5.5503289,11
ACORN,PETERHEAD,57.508123,-1.784066,10
BUDDING ROSE,PETERHEAD,57.508123,-1.784066,10
IVY MAY,SCARBOROUGH,54.283113,-0.399752,10
LYNNMARIE,KILKEEL,54.0630359,-6.0069415,10
WHITE ROSE,LYBSTER,58.304216,-3.285232,9
WHITE ROSE,LYBSTER,58.304216,-3.285232,9
ENDURANCE,PETERHEAD,57.508123,-1.784066,9
DIGNITY JAY,LOCH SCRIDAIN (ISLE MULL),56.3621125,-6.0840964,9
QUEENSBERRY,ANNAN,54.990246,-3.259773,9
QUEENSBERRY,ANNAN,54.990246,-3.259773,9
VANQUISH,KILKEEL,54.0630359,-6.0069415,9
VANQUISH,KILKEEL,54.0630359,-6.0069415,9
ELVEN HUNTER,LEIGH-ON-SEA,51.5474028,0.6472769,9
LADY L,BRIXHAM,50.39514,-3.513924,8
VICTORY OF HELFORD,SCILLY ISLES,49.9166667,-6.3333333,8
KESTREL,BUCKIE,57.677392,-2.967311,7
MAR DE BENS,TROON,55.541332,-4.659948,7
GIRL ERRIN,CAMPBELTOWN,55.424117,-5.605374,7
SHALIMAR,KIRKWALL,58.984674,-2.962249,6
MADONNA,SEAHOUSES,55.581148,-1.651159,6
BORDER QUEEN,BLYTH,55.126957,-1.510277,6
BORDER QUEEN,BLYTH,55.126957,-1.510277,6
BORDER QUEEN,BLYTH,55.126957,-1.510277,6
AZTEC,KIRKCUDBRIGHT,54.837569,-4.04878,6
PORTUNUS,KINGS LYNN,52.75649,0.4001739,6
TENACIOUS,SALCOMBE,50.23758,-3.769791,6
BRILLIANT,CENTRAL MAINLAND (SHETLAND),60.122013,-1.213082,5
EMERALD DAWN,BUCKIE,57.677392,-2.967311,5
REBECCA JENEEN,MALLAIG,57.003813,-5.827173,5
FIRECREST,GRIMSBY,53.567471,-0.080784,5
ANA MARIA,GRIMSBY,53.567471,-0.080784,5
JOLENE,KINGS LYNN,52.75649,0.4001739,5
SUPERB-US,BRIXHAM,50.39514,-3.513924,5
SEAGULL,MACDUFF,57.67059,-2.497849,4
BUDDING ROSE,PETERHEAD,57.508123,-1.784066,4
DALWHINNIE,ABERDEEN,57.149717,-2.094278,4
FREDWOOD,ANNAN,54.990246,-3.259773,4
CAROLE ANNE,QUEENBOROUGH,51.4173171,0.7441736,4
MYSHA LUCY,BRIXHAM,50.39514,-3.513924,4
JACQUELINE ANNE,FRASERBURGH,57.693352,-2.007631,3
CALISHA,BUCKIE,57.677392,-2.967311,3
TARKA,COLL,56.6246136,-6.5618783,3
FAIR MORN,TROON,55.541332,-4.659948,3
ARGO,KIRKCUDBRIGHT,54.837569,-4.04878,3
ST BRENDAN,PORTAVOGIE,54.46208,-5.44743,3
ANTARES,KILKEEL,54.0630359,-6.0069415,3
HARMONI,PWLLHELI,52.888816,-4.4176339,3
LEWIS ANDREW,LEIGH-ON-SEA,51.5474028,0.6472769,3
OUR SARAH JAYNE,WHITSTABLE,51.361047,1.024256,3
LADY OF LUNDY,ILFRACOMBE,51.205163,-4.126762,3
ARNBORG,ULLAPOOL,57.895418,-5.161313,2
CORDELIA K,ULLAPOOL,57.895418,-5.161313,2
VALAURA,BENBECULA,57.4565187,-7.2820386,2
STAR OF JURA,OBAN,56.415157,-5.471047,2
STAR OF JURA,OBAN,56.415157,-5.471047,2
ACADEMUS,KIRKCUDBRIGHT,54.837569,-4.04878,2
PERSEVERANCE II,SCARBOROUGH,54.283113,-0.399752,2
PERSEVERANCE II,SCARBOROUGH,54.283113,-0.399752,2
RADIANT MORN,BRIDLINGTON,54.08535,-0.198802,2
LYNN PRINCESS,KINGS LYNN,52.75649,0.4001739,2
PROVIDING STAR,PORTSMOUTH,50.816667,-1.083333,2
PEN GLAS,SALCOMBE,50.23758,-3.769791,2
HEATHER K,WESTRAY,29.818468,-95.542115,2
NORONYA,KIRKWALL,58.984674,-2.962249,1
SIARACH III,STORNOWAY,58.209435,-6.3848692,1
WALRUS,ULLAPOOL,57.895418,-5.161313,1
CELESTIAL DAWN,GARDENSTOWN,57.666,-2.333,1
ENCHANTED,PORTREE,57.412474,-6.196023,1
ANN MARIE II,SOUTH UIST & ERISKAY,57.0727277,-7.292431,1
ANN MARIE II,SOUTH UIST & ERISKAY,57.0727277,-7.292431,1
SILVER SPRAY,OBAN,56.415157,-5.471047,1
URCHIN,OBAN,56.415157,-5.471047,1
ISLA S,AYR,55.458564,-4.629179,1
GERT JAN,SCARBOROUGH,54.283113,-0.399752,1
MERLIN,GRIMSBY,53.567471,-0.080784,1
VIKING WARRIOR,CEMAES BAY,53.412797,-4.451736,1
SARAH H,HOLYHEAD,53.309441,-4.633038,1
SARAH H,HOLYHEAD,53.309441,-4.633038,1
PAMELA MARY,KINGS LYNN,52.75649,0.4001739,1
SEIONT A,WHITSTABLE,51.361047,1.024256,1
SEIONT A,WHITSTABLE,51.361047,1.024256,1
AMADEUS,BRIXHAM,50.39514,-3.513924,1
SAPPHIRE II,NEWLYN,50.107058,-5.5503289,1
GREEN BRAE,GREENCASTLE,39.6444898,-86.8647316,1
CLANSMAN,ISLAY,-23.9591904,-63.2087212,1
